SkillName	SkillID	Design_Belong	Design_Effect	MaxLevel	KindType	FunctionType	UIType	BelongKungfu	BelongSchool	CastMode	WeaponRequest	IsCostAmmo	CostItemType	CostItemIndex	MountRequestType	MountRequestDetail	MountType	IsMountAble	IsPassiveSkill	IsChannelSkill	IsExpSkill	IsExactHit	IsInstinct	IsAutoTurn	CauseAbradeEquipment	CauseBeatBreak	CauseBeatBack	HasCriticalStrike	SkillEventMask1	SkillEventMask2	SkillCastFlag	UseCastScript	Use3DObstacle	CheckReachable	IgnorePositiveShield	IgnoreNegativeShield	NeedOutOfFight	SelfOnFear	SelfHorseStateRequest	TargetTypePlayer	TargetTypeNpc	TargetRelationNone	TargetRelationSelf	TargetRelationAlly	TargetRelationEnemy	TargetRelationDialog	TargetRelationNeutrality	TargetRelationParty	TargetRelationRaid	TargetHorseStateRequest	TargetOnFear	AutoSelectTarget	NPCWeaponType	CommonSkillActiveMode	IsBindCombatTag	EffectPlayType	ScriptFile	_ScriptFileHashID	EffectType	CheckBindBuff	MountRequestDetailLevel	CastMask	SelfMoveStateMask	TargetMoveStateMask	RecipeType	MapBanMask	SkillMark	SelfBackupMoveStateMask	TargetRelationMentor	TargetRelationApprentice	KungfuMountID	HorseMask	PetTemplateID	TargetNpcSpeciesMask	SelfSprintStateRequest	SelfTerrainStateRequest	SelfFollowStateRequest	IgnoreCamp	TargetFollowStateRequest	IsCheckStealth	SelfMoveStateMask2	SelfBackupMoveStateMask2	TargetMoveStateMask2	Pos	CanReverse	CanCastOnTower	TargetRelationTeamGroup	TargetJumpCountMask	IgnoreSilence	LongRange	BelongDynamicGroupID	IsTherapy	CanKeepHoard	CanCastWithHoard	CanAddMaxRadius	KillRushCanCastMode	MinSelectTargetCount	MaxSelectTargetCount	SkillEventMask3	UseDamageScalingCompression	IgnoreImmunityCast
Default	0	测试技能	直接伤害技能	1	Physics	Normal	0	10000	0	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	NotHorse	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	AniAndSfx	Default.lua		Neutral	0	0	0	2214609150	2621341694	0	0	1	0	0	0	0	0	0	656894	NotInSprint	Any	NotInFollow	0	Any	1	63	63	63	0		0	0	4294967295	0		0	0	0	0	1	NotKillRushMapCanCast	0	0			
TestSkill	1	测试技能	直接伤害技能	2	None	Damage	1	10006	13	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0		0	0	1	0	1	0	0	0	Any	1	1	1	1	1	1	1	1	1	0	Any	1	0	0		0	AniAndSfx	test/TestSkill.lua		Harmful				49166	1010761726	0			0	0	0	0	0	0		NotInSprint	Any																									
空雾峰_1号BOSS_欠债	2	测试技能	直接伤害技能	20	None	Damage	2	10113	12	CasterArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\空雾峰1号欠债.lua		Harmful	0	0		16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0														1	
空雾峰_1号BOSS_还钱	3	测试技能	直接伤害技能	20	Physics	Damage	2	10113	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	11	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\空雾峰1号还钱.lua		Harmful	0	0		16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0														1	
空雾峰_1号BOSS_金钱漫天	4	测试技能	直接伤害技能	20	None	Damage	2	10113	12	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	513	0	0	0	1	0	1	0	0	0	NotHorse	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	AniAndSfx	Default.lua		Harmful	0	0		16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0														1	
击倒	5	测试技能	直接伤害技能	1	None	Daze	1	10025	11	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	Any	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	AniAndSfx	test\移动状态测试技能.lua		Harmful	0	0	0	4095998	1010728958	0	0		0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
击退到	6	测试技能	直接伤害技能	1	None	Daze	1	10025	11	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Any	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	AniAndSfx	test\移动状态测试技能.lua		Harmful	0	0	0	4095998	1010728958	0	0		0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
普通攻击	7	NPC技能	直接伤害技能	2	None	Damage	0	10085	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0		0	0	1	0	1	0	0	0	NotHorse	1	1	1	0	0	1	0	0	0	0	Any	1	0	0		1	AniAndSfx	npc/NPC_attack_wolf1.lua		Harmful				49166	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				1	4	0	7	0	0	0														1	
天工坊_2号BOSS_平三指_投掷火药_火药爆炸	8	测试技能	直接伤害技能	20	Physics	Damage	2	10110	12	CasterArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	515	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	npc\副本BOSS\天工坊_2号BOSS_平三指_投掷火药_火药爆炸.lua		Harmful	0	0	0	16638	1010728958	0	0		0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0														1	
奇穴·任脉·十宣	9	测试技能	直接伤害技能	10	None	Damage	1	10066	0	TargetSingle	0	0	Invalid	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	NotHorse	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	None	经脉\基础系\奇穴_增加治疗能力.lua		Harmful	0			16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
